Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
171,"Wenn es denn nur eine Überraschung sein soll! Nichts weiter sei unbesorgt. Das Glück des heutigen Tages weckte mich so früh. Da war so schön, der Weg ist zu kurz, ich vermute der euch hier so geschäftig, vielleicht vergessen Sie etwas wie mir.",positive,positive,negative,negative,2157,2177
172,Mit einem Wort ich komme und sehe und gehe also gleich wieder zurück.,neutral,neutral,negative,neutral,2179,2182
173,wo ist Emilia? unstreitig beschäftigt mit dem Putzen,positive,neutral,positiv,neutral,2184,2189
174,"Sie ist in der Messe. – Ich habe heute, mehr als jeden andern Tag, Gnade von oben zu erflehen, sagte sie, und ließ alles liegen, und nahm ihren Schleier, und eilte –
Ganz allein?
Die wenigen Schritte – –",neutral,positive,negative,neutral,2195,2211
175,Kommen Sie herein?,positive,neutral,negative,neutral,2212,2213
176,"Augenblick auszuruhen und wenn Sie wollen eine Erfrischung zu nehmen, wie du meinst Claudia, aber sie sollte nicht allein gegangen sein.",positive,negative,positiv,neutral,2215,2223
177,"Und Ihr, Pirro, bleibt hier in dem Vorzimmer, alle Besuche auf heute zu verbitten.
Die sich nur aus Neugierde melden lassen. – Was bin ich seit einer Stunde nicht alles ausgefragt worden! ",negative,negative,positiv,neutral,2225,2238
178,Himmel,neutral,neutral,negative,neutral,2241,2242
179,"Angelo? – Du?
Wie du siehst. – Ich bin lange genug um das Haus herumgegangen, dich zu sprechen. – Auf ein Wort! –
Und du wagst es, wieder ans Licht zu kommen? – Du bist seit deiner letzten Mordtat vogelfrei erkläret; auf deinen Kopf steht eine Belohnung –
Die doch du nicht wirst verdienen wollen? –
Was willst du? Ich bitte dich, mache mich nicht unglücklich.
Damit etwa?",negative,negative,negative,neutral,2244,2268
180,Es gehört dir.,neutral,neutral,neutral,neutral,2269,2271
181,mir hast du vergessen.,neutral,neutral,neutral,neutral,2272,2274
182," Der Deutsche, dein voriger Herr, – –
Schweig davon!
Den du uns, auf dem Wege nach Pisa, in die Falle führtest –
Wenn uns jemand hörte!
Hatte ja die Güte, uns auch einen kostbaren Ring zu hinterlassen. – Weißt du nicht? – Er war zu kostbar, der Ring, als daß wir ihn sogleich ohne Verdacht hätten zu Gelde machen können. Endlich ist mir es damit gelungen. Ich habe hundert Pistolen dafür erhalten: und das ist dein Anteil. Nimm!",negative,negative,negative,neutral,2275,2303
183,Ich mag nichts behalt alles.,negative,positive,negative,neutral,2311,2313
184,"Meinetwegen, wenn es dir gleich ist wie hoch du deinen Kopf trägst.",negative,positive,negative,neutral,2314,2319
185,"Und was nun? Denn daß du bloß deswegen mich aufgesucht haben solltest – –
 Halunke! Was denkst du von uns? – daß wir fähig sind, jemand seinen Verdienst vorzuenthalten? Das mag unter den so genannten ehrlichen Leuten Mode sein: unter uns nicht.",negative,negative,negative,neutral,2321,2336
186,leb wohl,negative,neutral,negative,neutral,2340,2341
